car_id,count_total
363965,2
269550,3
359049,10
299063,13
398802,9
370585,5
371242,4
322502,1
256528,5
330658,1
366037,3
402596,1
257466,2
347394,1
364160,10
397217,9
398816,3
382243,4
312389,8
383720,10
404496,6
243659,5
224745,1
403184,1
254172,2
190995,2
391287,4
352799,11
380247,3
298040,2
337859,2
351617,2
356877,2
306450,5
314220,16
402562,19
181625,12
373328,2
341798,1
374877,7
381098,3
363433,3
259092,1
221171,1
404169,2
355554,2
404562,3
317639,6
234356,2
361468,4
275810,7
378257,2
373061,1
364052,4
336902,7
314456,15
389958,8
388597,1
320824,14
271380,4
394562,4
370797,4
399459,3
392176,2
303652,3
395243,3
373893,15
194379,1
390702,15
358567,7
344594,3
358480,14
380364,3
384575,1
396552,3
402083,7
362659,2
348178,7
376381,2
397814,3
375944,3
398733,6
352436,3
381583,9
337311,10
394560,1
369230,8
389785,13
363387,11
378931,2
193354,3
267735,4
223654,1
403304,1
359641,10
342067,4
349280,4
338052,2
300336,4
397470,6
390736,2
389994,6
404731,6
390467,19
396544,3
313085,3
192803,1
243218,1
347242,1
380708,6
401964,4
409359,2
408937,5
396281,5
406984,4
297511,7
351549,8
311437,7
369219,2
388231,4
347612,4
359046,4
388032,2
355444,16
370997,8
369483,10
277766,2
247971,4
258837,4
245480,3
365531,3
202057,4
362860,3
341086,1
402505,5
374684,12
303506,2
396732,1
217777,3
352528,19
393558,1
314897,3
405906,1
321607,1
280562,3
284552,2
387559,2
397413,2
378418,2
408830,3
382364,7
321674,4
329496,4
371368,1
388268,2
207728,3
374400,3
322005,2
409676,7
315909,2
409980,2
401751,1
221978,3
391512,2
218964,8
358082,17
393044,8
379428,1
200316,1
410052,5
350521,3
395671,4
344149,1
409296,2
377312,14
371572,13
358772,16
409808,4
356551,13
399161,2
378939,3
390481,5
225795,9
368432,23
294189,11
374169,9
319708,1
301301,16
306607,3
387939,8
337047,2
405565,2
367627,5
176755,1
394781,5
387810,13
348400,7
373545,3
350135,1
194343,6
292910,2
367365,6
363658,10
353251,3
224133,7
393172,7
312840,3
409096,2
366310,6
382901,10
409695,5
396470,4
381038,1
242106,2
409274,4
408509,7
384056,6
383309,10
409391,1
366448,2
392732,4
342645,9
399535,3
295783,16
348526,16
410452,1
405122,6
377219,6
276276,5
395489,1
385574,4
409344,8
214635,13
231676,4
381684,5
188944,3
392147,14
374614,3
408406,4
409718,4
411835,1
367346,2
317330,10
409458,1
375311,2
374241,2
288973,10
363820,2
282893,4
406104,8
278005,2
373316,6
411521,5
227830,2
369608,3
394752,2
360829,2
411687,1
175887,5
364907,11
181607,1
369881,10
177058,3
391174,2
408814,3
328016,4
273263,1
358131,1
310219,5
409690,8
383481,3
407730,2
378182,3
294883,7
407838,5
408578,2
295815,1
239798,1
399967,3
346652,3
310681,5
229360,1
409711,3
383343,1
359880,9
291723,3
382939,1
304570,1
341710,6
283001,3
406062,5
277888,1
381233,2
374293,2
382793,2
171249,4
348625,3
412676,4
245154,15
408202,1
384045,2
384657,9
376619,5
307335,3
385625,11
364662,2
173061,11
406081,2
323777,6
348673,1
315136,6
384385,3
276924,6
401166,5
385783,5
412936,1
347847,6
390976,4
393972,2
402528,15
410694,2
293785,9
241021,29
380002,5
406629,2
352631,1
402993,6
311353,2
328013,1
324889,4
351168,3
391519,12
391926,3
327585,1
360548,2
407253,3
375774,6
320670,3
374298,9
211860,3
407632,7
396767,3
274554,4
413896,6
296213,1
397878,2
368275,2
332548,1
395962,2
402773,3
406205,1
387427,1
383126,4
321400,3
327732,2
412816,1
405433,7
401623,1
383139,1
375915,6
410151,7
272724,10
351547,2
351021,1
396746,3
375126,10
400165,4
318867,5
405858,5
297962,6
410258,1
326755,1
326578,3
316772,1
368753,2
321069,6
340616,13
286751,10
297740,1
344677,1
369354,1
289720,8
281955,10
220877,7
408776,4
394117,1
376064,2
301068,4
288452,2
399361,3
404020,5
410068,3
375755,3
387845,2
334859,3
337217,8
373726,2
389467,5
392479,19
305917,2
249274,5
411754,5
310444,7
192179,8
341119,8
364996,4
395613,1
414723,1
409636,6
409238,8
304112,1
403722,1
404542,7
386382,1
394024,3
381499,10
248539,6
392731,1
408060,3
404133,3
386177,1
410088,1
242546,1
381183,8
393442,7
310571,7
310828,1
339515,1
394272,12
349894,8
225602,3
347208,13
409663,4
381123,7
179429,1
361262,4
384150,1
195888,6
371530,4
407869,2
382884,5
412426,2
332366,1
341431,8
394120,1
340833,5
410110,2
384747,4
356481,6
399718,3
414525,2
282208,4
366410,4
354331,5
381435,6
406475,7
415170,1
368210,1
376391,3
281518,2
213807,2
308565,5
268874,1
393781,3
226932,4
393584,2
221297,3
358274,1
372647,7
339975,1
386539,3
382279,3
366287,5
402194,3
397136,1
349131,3
320481,7
359719,5
358846,4
251815,4
168079,1
402078,11
337219,7
381012,7
241058,1
376514,1
363431,5
380866,6
280805,9
335857,2
285846,1
406054,4
325154,2
381512,2
385174,3
370513,5
266641,5
354515,10
372128,3
207715,1
356434,7
262206,2
241568,1
276202,3
378003,10
290600,10
368448,5
408131,2
332611,1
406388,8
405683,1
301632,5
386928,2
385295,8
364882,12
373925,4
374698,10
318715,2
173376,6
414498,2
376311,14
389035,3
404483,1
375908,4
414708,1
328506,2
334671,1
374921,4
313772,6
407907,1
386498,2
164960,11
298388,6
228776,5
415953,2
268798,1
381940,1
279764,5
402980,3
414349,3
401968,2
410939,9
366025,6
399205,2
376840,9
307364,11
314572,1
396250,6
296295,1
402779,3
214007,1
345738,4
279378,2
412469,1
317378,7
314605,6
291932,8
415843,3
410396,2
159536,7
372609,2
365926,22
293992,4
304566,1
309517,2
353425,20
368083,1
367382,1
398697,7
232442,2
380867,1
377746,2
216796,1
361217,2
305669,1
331681,3
299017,4
364237,1
354388,2
277553,1
392779,1
377700,8
274943,5
267672,5
397599,10
382613,2
402156,1
265239,18
375887,2
257207,2
390927,13
403526,8
351304,2
310644,2
404493,4
369713,2
298455,3
377364,2
403863,7
400078,5
371520,6
348901,3
358978,14
404725,6
262187,4
382700,4
399528,12
380223,2
248159,4
339442,9
285241,6
204019,1
407199,4
398877,2
296967,10
388490,2
289901,8
259952,5
309209,4
369634,1
226544,5
403149,4
370907,8
393938,1
271419,1
378072,11
352663,4
407390,2
385861,3
342154,10
401462,2
227100,3
398586,11
300345,1
280227,10
301512,5
371387,16
290726,11
394490,1
300601,1
192409,3
390718,1
366079,2
299180,2
190163,2
399549,1
390347,2
293771,1
245884,4
370437,2
304392,14
376237,1
391056,1
261879,3
388411,2
351024,2
188941,3
173341,1
376574,2
364038,2
330176,1
391223,4
339993,3
334199,1
366631,1
392485,5
394561,3
383344,15
353459,3
310636,8
198687,4
370312,6
346755,6
388172,1
401475,14
384479,14
390056,2
285452,16
167023,2
335239,3
351787,5
396672,1
403410,1
321582,4
241935,1
346840,1
402845,4
343652,3
364310,1
361156,7
265546,5
256932,2
361564,5
283806,1
373677,4
221181,2
320834,6
391618,5
404592,1
371159,10
389441,3
276919,2
344091,2
385666,1
180535,2
353270,2
378850,4
288611,2
255078,1
404341,2
389348,5
175071,2
370485,2
290109,8
311376,5
405490,3
160062,6
308073,8
375307,4
319579,2
336027,2
392718,9
407820,6
366199,4
323095,3
399464,3
299776,2
372687,1
376901,11
405733,4
382712,3
374740,4
408821,2
394320,2
310534,5
373233,8
301422,3
282657,2
409227,6
400193,3
395023,3
208207,3
308414,5
399936,3
375586,1
245338,2
357975,2
353292,1
397095,1
350502,8
333865,1
328263,6
190171,2
295067,2
377805,2
347873,15
167490,4
403648,1
324197,6
203060,4
177313,4
397642,1
276923,4
298757,6
388767,4
270501,1
337198,7
399489,2
392142,4
393908,5
406559,3
403275,4
372346,3
378616,1
406310,4
341184,3
379018,1
294327,5
348293,6
404583,3
