state,delay,checkout
ended,70.0,late
ended,23.0,late
ended,214.0,late
ended,15.0,late
ended,66.0,late
ended,215.0,late
ended,58.0,late
ended,1452.0,late
ended,35.0,late
ended,22.0,late
ended,52.0,late
ended,15.0,late
ended,130.0,late
ended,29.0,late
ended,44.0,late
ended,31.0,late
ended,79.0,late
ended,30.0,late
ended,33.0,late
ended,44.0,late
ended,37.0,late
ended,24.0,late
ended,40.0,late
ended,137.0,late
ended,249.0,late
ended,23.0,late
ended,9.0,late
ended,68.0,late
ended,38.0,late
ended,74.0,late
ended,780.0,late
ended,271.0,late
ended,933.0,late
ended,1967.0,late
ended,205.0,late
ended,18.0,late
ended,48.0,late
ended,266.0,late
ended,36.0,late
ended,80.0,late
ended,2.0,late
ended,8.0,late
ended,134.0,late
ended,13.0,late
ended,85.0,late
ended,66.0,late
ended,32.0,late
ended,41.0,late
ended,3.0,late
ended,216.0,late
ended,28.0,late
ended,93.0,late
ended,9.0,late
ended,210.0,late
ended,12.0,late
ended,90.0,late
ended,11.0,late
ended,146.0,late
ended,13.0,late
ended,901.0,late
ended,52.0,late
ended,125.0,late
ended,165.0,late
ended,83.0,late
ended,69.0,late
ended,156.0,late
ended,12.0,late
ended,50.0,late
ended,183.0,late
ended,9.0,late
ended,64.0,late
ended,23.0,late
ended,14.0,late
ended,5.0,late
ended,300.0,late
ended,12.0,late
ended,48.0,late
ended,670.0,late
ended,64.0,late
ended,2.0,late
ended,24.0,late
ended,55.0,late
ended,75.0,late
ended,337.0,late
ended,39.0,late
ended,56.0,late
ended,31.0,late
ended,233.0,late
ended,50.0,late
ended,108.0,late
ended,56.0,late
ended,74.0,late
ended,7.0,late
ended,302.0,late
ended,93.0,late
ended,20.0,late
ended,20.0,late
ended,69.0,late
ended,163.0,late
ended,10.0,late
ended,16.0,late
ended,92.0,late
ended,7.0,late
ended,30.0,late
ended,261.0,late
ended,84.0,late
ended,85.0,late
ended,10.0,late
ended,423.0,late
ended,500.0,late
ended,1.0,late
ended,266.0,late
ended,145.0,late
ended,8.0,late
ended,74.0,late
ended,126.0,late
ended,15.0,late
ended,195.0,late
ended,201.0,late
ended,21.0,late
ended,225.0,late
ended,381.0,late
ended,22.0,late
ended,144.0,late
ended,69.0,late
ended,19.0,late
ended,10.0,late
ended,54.0,late
ended,3.0,late
ended,201.0,late
ended,167.0,late
ended,20.0,late
ended,82.0,late
ended,37.0,late
ended,40.0,late
ended,211.0,late
ended,97.0,late
ended,16.0,late
ended,536.0,late
ended,159.0,late
ended,34.0,late
ended,203.0,late
ended,275.0,late
ended,11.0,late
ended,91.0,late
ended,23.0,late
ended,4.0,late
ended,23.0,late
ended,6.0,late
ended,322.0,late
ended,31.0,late
ended,63.0,late
ended,10.0,late
ended,40.0,late
ended,20.0,late
ended,5.0,late
ended,7.0,late
ended,24.0,late
ended,170.0,late
ended,1.0,late
ended,11.0,late
ended,37.0,late
ended,358.0,late
ended,17.0,late
ended,161.0,late
ended,146.0,late
ended,19.0,late
ended,58.0,late
ended,21.0,late
ended,181.0,late
ended,14.0,late
ended,8.0,late
ended,77.0,late
ended,59.0,late
ended,98.0,late
ended,23.0,late
ended,14.0,late
ended,7.0,late
ended,55.0,late
ended,101.0,late
ended,47.0,late
ended,21.0,late
ended,15.0,late
ended,122.0,late
ended,996.0,late
ended,67.0,late
ended,173.0,late
ended,20.0,late
ended,72.0,late
ended,3.0,late
ended,102.0,late
ended,27.0,late
ended,2.0,late
ended,89.0,late
ended,18.0,late
ended,44.0,late
ended,21.0,late
ended,52.0,late
ended,84.0,late
ended,65.0,late
ended,10.0,late
ended,173.0,late
ended,7.0,late
ended,108.0,late
ended,73.0,late
ended,73.0,late
ended,129.0,late
ended,15.0,late
ended,30.0,late
ended,33.0,late
ended,25.0,late
ended,27.0,late
ended,99.0,late
ended,4.0,late
ended,90.0,late
ended,20.0,late
ended,10.0,late
ended,69.0,late
ended,335.0,late
ended,403.0,late
ended,1.0,late
ended,136.0,late
ended,62.0,late
ended,41.0,late
ended,45.0,late
ended,436.0,late
ended,42.0,late
ended,15.0,late
ended,7.0,late
ended,181.0,late
ended,14.0,late
ended,7.0,late
ended,162.0,late
ended,946.0,late
ended,1.0,late
ended,300.0,late
ended,9.0,late
ended,22.0,late
ended,28.0,late
ended,106.0,late
ended,3.0,late
ended,10.0,late
ended,14.0,late
ended,9.0,late
ended,1110.0,late
ended,38.0,late
ended,6.0,late
ended,82.0,late
ended,107.0,late
ended,49.0,late
ended,32.0,late
ended,142.0,late
ended,44.0,late
ended,48.0,late
ended,58.0,late
ended,25.0,late
ended,66.0,late
ended,243.0,late
ended,16.0,late
ended,349.0,late
ended,28.0,late
ended,27.0,late
ended,41.0,late
ended,59.0,late
ended,100.0,late
ended,22.0,late
ended,101.0,late
ended,21.0,late
ended,30.0,late
ended,58.0,late
ended,43.0,late
ended,90.0,late
ended,67.0,late
ended,76.0,late
ended,14.0,late
ended,21.0,late
ended,12.0,late
ended,1101.0,late
ended,28.0,late
ended,110.0,late
ended,1360.0,late
ended,42.0,late
ended,89.0,late
ended,694.0,late
ended,183.0,late
ended,119.0,late
ended,22.0,late
ended,42.0,late
ended,6.0,late
ended,9.0,late
ended,6.0,late
ended,1490.0,late
ended,16.0,late
ended,7.0,late
ended,28.0,late
ended,14.0,late
ended,248.0,late
ended,203.0,late
ended,33.0,late
ended,33.0,late
ended,26.0,late
ended,4.0,late
ended,26.0,late
ended,110.0,late
ended,62.0,late
ended,159.0,late
ended,98.0,late
ended,379.0,late
ended,69.0,late
ended,610.0,late
ended,3.0,late
ended,102.0,late
ended,28.0,late
ended,81.0,late
ended,3.0,late
ended,747.0,late
ended,8.0,late
ended,614.0,late
ended,4.0,late
ended,28.0,late
ended,5.0,late
ended,69.0,late
ended,3.0,late
ended,870.0,late
ended,113.0,late
ended,47.0,late
ended,78.0,late
ended,147.0,late
ended,458.0,late
ended,166.0,late
ended,160.0,late
ended,20.0,late
ended,12.0,late
ended,15.0,late
ended,21.0,late
ended,1357.0,late
ended,7.0,late
ended,3.0,late
ended,35.0,late
ended,31.0,late
ended,32.0,late
ended,130.0,late
ended,12.0,late
ended,14.0,late
ended,224.0,late
ended,57.0,late
ended,628.0,late
ended,661.0,late
ended,113.0,late
ended,69.0,late
ended,67.0,late
ended,19.0,late
ended,18.0,late
ended,21.0,late
ended,74.0,late
ended,15.0,late
ended,35.0,late
ended,4.0,late
ended,54.0,late
ended,61.0,late
ended,147.0,late
ended,25.0,late
ended,117.0,late
ended,170.0,late
ended,64.0,late
ended,23.0,late
ended,20.0,late
ended,5.0,late
ended,28.0,late
ended,17.0,late
ended,51.0,late
ended,88.0,late
ended,146.0,late
ended,2.0,late
ended,179.0,late
ended,108.0,late
ended,13.0,late
ended,19.0,late
ended,41.0,late
ended,28.0,late
ended,35.0,late
ended,532.0,late
ended,30.0,late
ended,2.0,late
ended,31.0,late
ended,243.0,late
ended,42.0,late
ended,34.0,late
ended,6.0,late
ended,320.0,late
ended,4.0,late
ended,12.0,late
ended,42.0,late
ended,9.0,late
ended,25.0,late
ended,10.0,late
ended,2.0,late
ended,96.0,late
ended,9.0,late
ended,87.0,late
ended,7.0,late
ended,26.0,late
ended,8.0,late
ended,58.0,late
ended,104.0,late
ended,15.0,late
ended,208.0,late
ended,1.0,late
ended,89.0,late
ended,10.0,late
ended,182.0,late
ended,6.0,late
ended,370.0,late
ended,126.0,late
ended,73.0,late
ended,8.0,late
ended,44.0,late
ended,124.0,late
ended,8.0,late
ended,78.0,late
ended,49.0,late
ended,97.0,late
ended,2632.0,late
ended,245.0,late
ended,20.0,late
ended,76.0,late
ended,48.0,late
ended,31.0,late
ended,62.0,late
ended,60.0,late
ended,203.0,late
ended,35.0,late
ended,62.0,late
ended,4.0,late
ended,21.0,late
ended,351.0,late
ended,4.0,late
ended,322.0,late
ended,57.0,late
ended,38.0,late
ended,1151.0,late
ended,38.0,late
ended,25.0,late
ended,151.0,late
ended,28.0,late
ended,16.0,late
ended,29.0,late
ended,900.0,late
ended,3.0,late
ended,385.0,late
ended,11.0,late
ended,16.0,late
ended,11.0,late
ended,1505.0,late
ended,719.0,late
ended,66.0,late
ended,235.0,late
ended,48.0,late
ended,186.0,late
ended,38.0,late
ended,58.0,late
ended,41.0,late
ended,28.0,late
ended,38.0,late
ended,22.0,late
ended,7.0,late
ended,1808.0,late
ended,88.0,late
ended,273.0,late
ended,54.0,late
ended,33.0,late
ended,485.0,late
ended,454.0,late
ended,8.0,late
ended,217.0,late
ended,67.0,late
ended,101.0,late
ended,43.0,late
ended,128.0,late
ended,72.0,late
ended,108.0,late
ended,131.0,late
ended,71.0,late
ended,225.0,late
ended,377.0,late
ended,6.0,late
ended,8.0,late
ended,2.0,late
ended,2.0,late
ended,4.0,late
ended,12.0,late
ended,51.0,late
ended,19.0,late
ended,13.0,late
ended,41.0,late
ended,12.0,late
ended,240.0,late
ended,7.0,late
ended,27.0,late
ended,6.0,late
ended,343.0,late
ended,54.0,late
ended,8.0,late
ended,8.0,late
ended,69.0,late
ended,10.0,late
ended,2.0,late
ended,446.0,late
ended,259.0,late
ended,5.0,late
ended,3.0,late
ended,27.0,late
ended,60.0,late
ended,92.0,late
ended,124.0,late
ended,51.0,late
ended,102.0,late
ended,16.0,late
ended,56.0,late
ended,28.0,late
ended,11.0,late
ended,2.0,late
ended,1397.0,late
ended,280.0,late
ended,50.0,late
ended,50.0,late
ended,14.0,late
ended,41.0,late
ended,194.0,late
ended,1017.0,late
ended,424.0,late
ended,106.0,late
ended,1219.0,late
ended,1.0,late
ended,840.0,late
ended,99.0,late
ended,51.0,late
ended,194.0,late
ended,236.0,late
ended,6.0,late
ended,130.0,late
ended,7.0,late
ended,55.0,late
ended,254.0,late
ended,302.0,late
ended,15.0,late
ended,28.0,late
ended,14.0,late
ended,274.0,late
ended,7.0,late
ended,42.0,late
ended,69.0,late
ended,116.0,late
ended,64.0,late
ended,23.0,late
ended,102.0,late
ended,78.0,late
ended,6.0,late
ended,72.0,late
