rental_id,car_id,checkin_type,state,delay,previous_id,time_delta,previous_delay
511639,370585,connect,ended,-15.0,563782.0,570.0,136.0
519491,312389,mobile,ended,58.0,545639.0,420.0,140.0
533670,320824,connect,ended,-6.0,556563.0,630.0,23.0
534827,404169,mobile,ended,-7.0,531158.0,90.0,29.0
535611,397814,mobile,ended,68.0,535512.0,300.0,44.0
535770,352436,mobile,ended,74.0,524703.0,60.0,7.0
540217,398802,mobile,ended,-988.0,543426.0,720.0,51.0
540479,374684,mobile,ended,12.0,539751.0,0.0,3.0
541862,382364,mobile,ended,125.0,540607.0,0.0,1.0
542374,409676,mobile,ended,50.0,540444.0,180.0,131.0
543679,225795,connect,ended,64.0,540663.0,540.0,60.0
543768,374169,connect,canceled,,543010.0,210.0,42.0
547188,231676,mobile,ended,266.0,535868.0,30.0,16.0
548912,411521,mobile,ended,225.0,553683.0,60.0,42.0
551069,359880,connect,ended,-22.0,549192.0,180.0,45.0
559781,408776,mobile,ended,44.0,540868.0,0.0,26.0
561368,249274,connect,ended,-3.0,558711.0,30.0,10.0
561408,310444,connect,ended,-54.0,545475.0,360.0,54.0
561450,192179,connect,ended,7.0,541144.0,540.0,46.0
564500,382884,mobile,ended,69.0,555024.0,420.0,63.0
520147,392147,mobile,ended,1.0,536236.0,390.0,3.0
524487,380866,mobile,ended,-15.0,545830.0,120.0,58.0
567120,415953,mobile,ended,27.0,567178.0,150.0,145.0
568817,314605,mobile,ended,43.0,565775.0,360.0,8.0
574568,301512,mobile,ended,110.0,572909.0,0.0,13.0
521865,401475,connect,ended,113.0,514932.0,540.0,36.0
535519,353425,connect,ended,-166.0,533413.0,0.0,4.0
537441,408821,mobile,ended,25.0,541519.0,90.0,95.0
527199,388767,mobile,ended,-79.0,513582.0,180.0,28.0
536969,384479,mobile,ended,-29.0,539733.0,600.0,73.0
538136,175289,connect,ended,6.0,547208.0,570.0,5.0
538906,334190,connect,canceled,,556215.0,630.0,77.0
539618,297119,mobile,ended,101.0,538807.0,30.0,7.0
540924,374809,connect,ended,2.0,547311.0,240.0,7.0
541535,385642,mobile,ended,-21.0,543878.0,630.0,187.0
542401,410393,mobile,ended,7.0,541971.0,180.0,137.0
544473,378931,mobile,ended,-4.0,536978.0,60.0,271.0
540108,392813,mobile,ended,840.0,540368.0,120.0,102.0
543108,376574,mobile,ended,23.0,514474.0,0.0,81.0
544792,214635,connect,ended,40.0,545831.0,90.0,11.0
540747,214635,connect,ended,-972.0,546332.0,60.0,31.0
540892,402677,mobile,ended,205.0,540131.0,60.0,25.0
541445,385629,connect,ended,-221.0,544389.0,480.0,23.0
541756,229646,mobile,ended,205.0,528516.0,60.0,13.0
526111,377781,mobile,ended,-2.0,539387.0,660.0,22.0
533570,271621,mobile,canceled,,561375.0,120.0,25.0
535030,407334,mobile,ended,69.0,537148.0,60.0,37.0
536374,308579,mobile,ended,-59.0,537187.0,120.0,109.0
536722,387431,mobile,canceled,,536764.0,180.0,58.0
539151,282893,mobile,canceled,,548646.0,30.0,201.0
547062,396552,mobile,ended,27.0,513104.0,90.0,23.0
547655,375834,mobile,ended,89.0,548169.0,0.0,5.0
548863,409344,mobile,ended,7.0,547160.0,300.0,1.0
548864,396250,mobile,ended,527.0,550060.0,120.0,123.0
550504,405611,connect,ended,59.0,562977.0,630.0,210.0
550564,333910,mobile,ended,-9.0,542509.0,120.0,30.0
541926,409589,mobile,ended,4.0,538736.0,150.0,52.0
545532,387939,connect,ended,7.0,546352.0,300.0,91.0
548933,355788,mobile,ended,-182.0,549479.0,720.0,60.0
549467,372779,mobile,ended,-62.0,547247.0,240.0,2.0
549471,334190,connect,ended,-89.0,554043.0,630.0,15.0
551707,404424,mobile,ended,105.0,550671.0,0.0,105.0
548814,338940,mobile,ended,11.0,531952.0,450.0,320.0
549917,389958,mobile,ended,9.0,557743.0,720.0,45.0
551686,383110,connect,ended,-11.0,547672.0,150.0,7.0
553139,297851,mobile,canceled,,547650.0,240.0,410.0
552049,404192,mobile,ended,1392.0,551936.0,150.0,925.0
552230,338940,mobile,ended,233.0,513740.0,30.0,83.0
553939,402528,connect,ended,-99.0,558730.0,0.0,6.0
554170,402209,mobile,ended,-125.0,564541.0,390.0,102.0
554505,402562,connect,ended,-47.0,554934.0,0.0,12.0
554791,382734,mobile,ended,-54.0,554944.0,720.0,37.0
555116,339607,mobile,ended,-8.0,553008.0,720.0,64.0
555821,326578,mobile,ended,1143.0,558583.0,0.0,3.0
557318,334190,connect,ended,158.0,556215.0,660.0,77.0
559037,349171,connect,canceled,,552392.0,0.0,46.0
559430,357530,connect,ended,-7.0,558258.0,0.0,2.0
521076,380708,connect,ended,103.0,539450.0,210.0,194.0
531247,392368,connect,ended,-32.0,550614.0,60.0,27.0
539838,295415,mobile,ended,2.0,541223.0,390.0,158.0
541281,397046,mobile,ended,14.0,537194.0,210.0,189.0
542781,309723,mobile,ended,297.0,541286.0,30.0,31.0
543745,359045,connect,canceled,,521852.0,150.0,650.0
544317,361564,mobile,ended,-8.0,530202.0,120.0,21.0
546955,398802,mobile,ended,25.0,543655.0,360.0,73.0
535326,377509,mobile,ended,-6.0,539365.0,60.0,28.0
557878,386786,mobile,ended,5.0,553306.0,360.0,18.0
558634,380019,mobile,ended,183.0,546644.0,420.0,84.0
564693,408680,mobile,ended,-23.0,553639.0,0.0,37.0
538224,340014,connect,canceled,,534999.0,180.0,346.0
539298,356407,mobile,ended,0.0,539220.0,30.0,1.0
