car_id,count_total,count_canceled_delay,benefit
363965,2.0,0.0,no benefit
269550,3.0,0.0,no benefit
359049,10.0,0.0,no benefit
299063,13.0,0.0,no benefit
398802,9.0,0.0,no benefit
370585,5.0,0.0,no benefit
371242,4.0,0.0,no benefit
322502,1.0,0.0,no benefit
256528,5.0,0.0,no benefit
330658,1.0,0.0,no benefit
366037,3.0,0.0,no benefit
402596,1.0,0.0,no benefit
257466,2.0,0.0,no benefit
347394,1.0,0.0,no benefit
364160,10.0,0.0,no benefit
397217,9.0,0.0,no benefit
398816,3.0,0.0,no benefit
382243,4.0,0.0,no benefit
312389,8.0,0.0,no benefit
383720,10.0,0.0,no benefit
404496,6.0,0.0,no benefit
243659,5.0,0.0,no benefit
224745,1.0,0.0,no benefit
403184,1.0,0.0,no benefit
254172,2.0,0.0,no benefit
190995,2.0,0.0,no benefit
391287,4.0,0.0,no benefit
352799,11.0,0.0,no benefit
380247,3.0,0.0,no benefit
298040,2.0,0.0,no benefit
337859,2.0,0.0,no benefit
351617,2.0,0.0,no benefit
356877,2.0,0.0,no benefit
306450,5.0,0.0,no benefit
314220,16.0,0.0,no benefit
402562,19.0,0.0,no benefit
181625,12.0,0.0,no benefit
373328,2.0,0.0,no benefit
341798,1.0,0.0,no benefit
374877,7.0,0.0,no benefit
381098,3.0,0.0,no benefit
363433,3.0,0.0,no benefit
259092,1.0,0.0,no benefit
221171,1.0,0.0,no benefit
404169,2.0,0.0,no benefit
355554,2.0,0.0,no benefit
404562,3.0,0.0,no benefit
317639,6.0,0.0,no benefit
234356,2.0,0.0,no benefit
361468,4.0,0.0,no benefit
275810,7.0,0.0,no benefit
378257,2.0,0.0,no benefit
373061,1.0,0.0,no benefit
364052,4.0,0.0,no benefit
336902,7.0,0.0,no benefit
314456,15.0,0.0,no benefit
389958,8.0,0.0,no benefit
388597,1.0,0.0,no benefit
320824,14.0,0.0,no benefit
271380,4.0,0.0,no benefit
394562,4.0,0.0,no benefit
370797,4.0,0.0,no benefit
399459,3.0,0.0,no benefit
392176,2.0,0.0,no benefit
303652,3.0,0.0,no benefit
395243,3.0,0.0,no benefit
373893,15.0,0.0,no benefit
194379,1.0,0.0,no benefit
390702,15.0,0.0,no benefit
358567,7.0,0.0,no benefit
344594,3.0,0.0,no benefit
358480,14.0,0.0,no benefit
380364,3.0,0.0,no benefit
384575,1.0,0.0,no benefit
396552,3.0,0.0,no benefit
402083,7.0,0.0,no benefit
362659,2.0,0.0,no benefit
348178,7.0,0.0,no benefit
376381,2.0,0.0,no benefit
397814,3.0,0.0,no benefit
375944,3.0,0.0,no benefit
398733,6.0,0.0,no benefit
352436,3.0,0.0,no benefit
381583,9.0,0.0,no benefit
337311,10.0,0.0,no benefit
394560,1.0,0.0,no benefit
369230,8.0,0.0,no benefit
389785,13.0,0.0,no benefit
363387,11.0,0.0,no benefit
378931,2.0,0.0,no benefit
193354,3.0,0.0,no benefit
267735,4.0,0.0,no benefit
223654,1.0,0.0,no benefit
403304,1.0,0.0,no benefit
359641,10.0,0.0,no benefit
342067,4.0,0.0,no benefit
349280,4.0,0.0,no benefit
338052,2.0,0.0,no benefit
300336,4.0,0.0,no benefit
397470,6.0,0.0,no benefit
390736,2.0,0.0,no benefit
389994,6.0,0.0,no benefit
404731,6.0,0.0,no benefit
390467,19.0,0.0,no benefit
396544,3.0,0.0,no benefit
313085,3.0,0.0,no benefit
192803,1.0,0.0,no benefit
243218,1.0,0.0,no benefit
347242,1.0,0.0,no benefit
380708,6.0,0.0,no benefit
401964,4.0,0.0,no benefit
409359,2.0,0.0,no benefit
408937,5.0,0.0,no benefit
396281,5.0,0.0,no benefit
406984,4.0,0.0,no benefit
297511,7.0,0.0,no benefit
351549,8.0,0.0,no benefit
311437,7.0,0.0,no benefit
369219,2.0,0.0,no benefit
388231,4.0,0.0,no benefit
347612,4.0,0.0,no benefit
359046,4.0,0.0,no benefit
388032,2.0,0.0,no benefit
355444,16.0,0.0,no benefit
370997,8.0,0.0,no benefit
369483,10.0,0.0,no benefit
277766,2.0,0.0,no benefit
247971,4.0,0.0,no benefit
258837,4.0,0.0,no benefit
245480,3.0,0.0,no benefit
365531,3.0,0.0,no benefit
202057,4.0,0.0,no benefit
362860,3.0,0.0,no benefit
341086,1.0,0.0,no benefit
402505,5.0,0.0,no benefit
374684,12.0,0.0,no benefit
303506,2.0,0.0,no benefit
396732,1.0,0.0,no benefit
217777,3.0,0.0,no benefit
352528,19.0,0.0,no benefit
393558,1.0,0.0,no benefit
314897,3.0,0.0,no benefit
405906,1.0,0.0,no benefit
321607,1.0,0.0,no benefit
280562,3.0,0.0,no benefit
284552,2.0,0.0,no benefit
387559,2.0,0.0,no benefit
397413,2.0,0.0,no benefit
378418,2.0,0.0,no benefit
408830,3.0,0.0,no benefit
382364,7.0,0.0,no benefit
321674,4.0,0.0,no benefit
329496,4.0,0.0,no benefit
371368,1.0,0.0,no benefit
388268,2.0,0.0,no benefit
207728,3.0,0.0,no benefit
374400,3.0,0.0,no benefit
322005,2.0,0.0,no benefit
409676,7.0,0.0,no benefit
315909,2.0,0.0,no benefit
409980,2.0,0.0,no benefit
401751,1.0,0.0,no benefit
221978,3.0,0.0,no benefit
391512,2.0,0.0,no benefit
218964,8.0,0.0,no benefit
358082,17.0,0.0,no benefit
393044,8.0,0.0,no benefit
379428,1.0,0.0,no benefit
200316,1.0,0.0,no benefit
410052,5.0,0.0,no benefit
350521,3.0,0.0,no benefit
395671,4.0,0.0,no benefit
344149,1.0,0.0,no benefit
409296,2.0,0.0,no benefit
377312,14.0,0.0,no benefit
371572,13.0,0.0,no benefit
358772,16.0,0.0,no benefit
409808,4.0,0.0,no benefit
356551,13.0,0.0,no benefit
399161,2.0,0.0,no benefit
378939,3.0,0.0,no benefit
390481,5.0,0.0,no benefit
225795,9.0,0.0,no benefit
368432,23.0,1.0,benefit
294189,11.0,0.0,no benefit
374169,9.0,1.0,benefit
319708,1.0,0.0,no benefit
301301,16.0,1.0,benefit
306607,3.0,0.0,no benefit
