state,previous_delay,cause
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,42.0,delay
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,-536.0,no delay
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,-88.0,no delay
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,-129.0,no delay
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,-35.0,no delay
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,-86.0,no delay
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,77.0,delay
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,-126.0,no delay
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,25.0,delay
canceled,,not known
canceled,58.0,delay
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,201.0,delay
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,-24.0,no delay
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,,not known
canceled,-168.0,no delay
canceled,,not known
canceled,,not known
canceled,,not known
canceled,-7.0,no delay
canceled,,not known
canceled,-55.0,no delay
canceled,,not known
canceled,,not known
