threshold,type,percent_total
0,all cars,3.269586674892042
30,all cars,2.2208513263417644
60,all cars,1.5731030228254166
90,all cars,1.1104256631708822
120,all cars,0.9561998766193708
150,all cars,0.8019740900678594
180,all cars,0.6785934608266502
210,all cars,0.5860579888957435
240,all cars,0.4935225169648365
270,all cars,0.3701418877236274
300,all cars,0.3392967304133251
330,all cars,0.3392967304133251
360,all cars,0.30845157310302285
390,all cars,0.30845157310302285
420,all cars,0.24676125848241826
0,connect cars,1.6964836520666253
30,connect cars,1.2954966070326959
60,connect cars,0.863664404688464
90,connect cars,0.6785934608266502
120,connect cars,0.5243676742751389
150,connect cars,0.431832202344232
180,connect cars,0.3392967304133251
210,connect cars,0.30845157310302285
240,connect cars,0.27760641579272055
270,connect cars,0.15422578655151142
300,connect cars,0.15422578655151142
330,connect cars,0.15422578655151142
360,connect cars,0.12338062924120913
390,connect cars,0.12338062924120913
420,connect cars,0.09253547193090685
